device_id,image_key,alt_thumbnail,kind,model,colour,season,release_date
iphone-aluminum,MA501,,iPhone,iPhone,Aluminum,Summer 2007,6/29/07
iphone-3g-black,MB046,,iPhone,iPhone 3G,Black,Summer 2008,7/11/08
iphone-3g-white,,,iPhone,iPhone 3G,White,Summer 2008,7/11/08
iphone-3gs-black,MB715,,iPhone,iPhone 3GS,Black,Summer 2009,6/19/09
iphone-3gs-white,MB716,,iPhone,iPhone 3GS,White,Summer 2009,6/19/09
iphone-4-black,MC318,,iPhone,iPhone 4,Black,Summer 2010,6/24/10
iphone-4-white,MC604,,iPhone,iPhone 4,White,Spring 2011,4/28/11
iphone-4s-black,MD234,,iPhone,iPhone 4s,Black,Autumn 2011,10/14/11
iphone-4s-white,MD237,,iPhone,iPhone 4s,White,Autumn 2011,10/14/11
iphone-5-black-and-slate,2012-iphone5-black,,iPhone,iPhone 5,Black & Slate,Autumn 2012,9/21/12
iphone-5-white-and-silver,,,iPhone,iPhone 5,White & Silver,Autumn 2012,9/21/12
iphone-5c-green,ME502,,iPhone,iPhone 5c,Green,Autumn 2013,9/20/13
iphone-5c-pink,ME503,,iPhone,iPhone 5c,Pink,Autumn 2013,9/20/13
iphone-5c-white,ME505,,iPhone,iPhone 5c,White,Autumn 2013,9/20/13
iphone-5c-yellow,ME506,,iPhone,iPhone 5c,Yellow,Autumn 2013,9/20/13
iphone-5c-blue,ME507,,iPhone,iPhone 5c,Blue,Autumn 2013,9/20/13
iphone-5s-space-grey,iphone5s-selection-hero-2015,,iPhone,iPhone 5s,Space Gray,Autumn 2013,9/20/13
iphone-5s-silver,iphone5s-selection-hero-2015,,iPhone,iPhone 5s,Silver,Autumn 2013,9/20/13
iphone-5s-gold,iphone5s-selection-hero-2015,,iPhone,iPhone 5s,Gold,Autumn 2013,9/20/13
iphone-6-space-grey,iphone6-gray-select-2014,,iPhone,iPhone 6,Space Gray,Autumn 2014,9/19/14
iphone-6-silver,iphone6-silver-select-2014,,iPhone,iPhone 6,Silver,Autumn 2014,9/19/14
iphone-6-gold,iphone6-select-2014,,iPhone,iPhone 6,Gold,Autumn 2014,9/19/14
iphone-6-plus-space-grey,iphone6p-gray-select-2014,,iPhone,iPhone 6 Plus,Space Gray,Autumn 2014,9/19/14
iphone-6-plus-silver,iphone6p-silver-select-2014,,iPhone,iPhone 6 Plus,Silver,Autumn 2014,9/19/14
iphone-6-plus-gold,iphone6p-select-2014,,iPhone,iPhone 6 Plus,Gold,Autumn 2014,9/19/14
iphone-6s-space-grey,iphone6s-gray-select-2015,,iPhone,iPhone 6s,Space Gray,Autumn 2015,9/25/15
iphone-6s-silver,iphone6s-silver-select-2015,,iPhone,iPhone 6s,Silver,Autumn 2015,9/25/15
iphone-6s-gold,iphone6s-gold-select-2015,,iPhone,iPhone 6s,Gold,Autumn 2015,9/25/15
iphone-6s-rose-gold,iphone6s-rosegold-select-2015,,iPhone,iPhone 6s,Rose Gold,Autumn 2015,9/25/15
iphone-6s-plus-space-grey,iphone6s-plus-gray-select-2015,,iPhone,iPhone 6s Plus,Space Gray,Autumn 2015,9/25/15
iphone-6s-plus-silver,iphone6s-plus-silver-select-2015,,iPhone,iPhone 6s Plus,Silver,Autumn 2015,9/25/15
iphone-6s-plus-gold,iphone6s-plus-gold-select-2015,,iPhone,iPhone 6s Plus,Gold,Autumn 2015,9/25/15
iphone-6s-plus-rose-gold,iphone6s-plus-rosegold-select-2015,,iPhone,iPhone 6s Plus,Rose Gold,Autumn 2015,9/25/15
iphone-se-1st-gen-space-grey,iphonese-gray-select-2016,,iPhone,iPhone SE 1st gen,Space Gray,Spring 2016,3/31/16
iphone-se-1st-gen-silver,iphonese-silver-select-2016,,iPhone,iPhone SE 1st gen,Silver,Spring 2016,3/31/16
iphone-se-1st-gen-gold,iphonese-gold-select-2016,,iPhone,iPhone SE 1st gen,Gold,Spring 2016,3/31/16
iphone-se-1st-gen-rose-gold,iphonese-rosegold-select-2016,,iPhone,iPhone SE 1st gen,Rose Gold,Spring 2016,3/31/16
iphone-7-black,iphone7-black-select-2016,,iPhone,iPhone 7,Black,Autumn 2016,9/16/16
iphone-7-jet-black,iphone7-jetblack-select-2016,,iPhone,iPhone 7,Jet Black,Autumn 2016,9/16/16
iphone-7-silver,iphone7-silver-select-2016,,iPhone,iPhone 7,Silver,Autumn 2016,9/16/16
iphone-7-gold,iphone7-gold-select-2016,,iPhone,iPhone 7,Gold,Autumn 2016,9/16/16
iphone-7-rose-gold,iphone7-rosegold-select-2016,,iPhone,iPhone 7,Rose Gold,Autumn 2016,9/16/16
iphone-7-product-red,iphone7-model-select-201703,,iPhone,iPhone 7,(PRODUCT)RED,Spring 2017,3/24/17
iphone-7-plus-black,iphone7-plus-black-select-2016,,iPhone,iPhone 7 Plus,Black,Autumn 2016,9/16/16
iphone-7-plus-jet-black,iphone7-plus-jetblack-select-2016,,iPhone,iPhone 7 Plus,Jet Black,Autumn 2016,9/16/16
iphone-7-plus-silver,iphone7-plus-silver-select-2016,,iPhone,iPhone 7 Plus,Silver,Autumn 2016,9/16/16
iphone-7-plus-gold,iphone7-plus-gold-select-2016,,iPhone,iPhone 7 Plus,Gold,Autumn 2016,9/16/16
iphone-7-plus-rose-gold,iphone7-plus-rosegold-select-2016,,iPhone,iPhone 7 Plus,Rose Gold,Autumn 2016,9/16/16
iphone-7-plus-product-red,iphone7plus-model-select-201703,,iPhone,iPhone 7 Plus,(PRODUCT)RED,Spring 2017,3/24/17
iphone-8-space-grey,iphone8-spgray-select-2017,,iPhone,iPhone 8,Space Gray,Autumn 2017,9/22/17
iphone-8-silver,iphone8-silver-select-2017,,iPhone,iPhone 8,Silver,Autumn 2017,9/22/17
iphone-8-gold,iphone8-gold-select-2017,,iPhone,iPhone 8,Gold,Autumn 2017,9/22/17
iphone-8-product-red,iphone8-red-select-2018,,iPhone,iPhone 8,(PRODUCT)RED,Spring 2018,4/13/18
