filename,res,hidden,colour,non_transparent
M9720,1024,,,
M9720_AV1,2560,,,
M9720_AV2,2560,,,
M9720_AV3,2560,,,
M9720_AV4,2560,,,
M9720_AV5,2560,,,
M9720_AV6,2560,,,
M9720_AV7,2048,,,
MA6A4,4608,,,
MA6A4_AV1,4608,,,
MA6A4_AV2,4608,,,
MA6A4_AV3,4608,,,
MA6A4_AV4,4608,,,
MA6A4_AV5,4608,,,
MA6W4,3800,,,
MA6W4_AV1,3800,,,
MA6W4_AV2,4608,,,
MA6W4_AV3,4608,,,
MA6X4,3800,,,
MA6X4_AV1,3800,,,
MA6X4_AV2,4608,,,
MA6X4_AV3,4608,,,
MA6Y4,3800,,,
MA6Y4_AV1,3800,,,
MA6Y4_AV2,4608,,,
MA6Y4_AV3,4608,,,
MA7A4,3800,,,
MA7A4_AV1,3800,,,
MA7A4_AV2,4608,,,
MA7A4_AV3,4608,,,
MA7D4,4608,,,
MA7D4_AV1,4608,,,
MA7D4_AV2,4608,,,
MA7D4_AV3,4608,,,
MA7D4_AV4,4608,,,
MA7E4,4608,,,
MA7E4_AV1,4608,,,
MA7E4_AV2,4608,,,
MA7E4_AV3,4608,,,
MA7E4_AV4,4608,,,
MA7F4,4608,,,
MA7F4_AV1,4608,,,
MA7F4_AV2,4608,,,
MA7F4_AV3,4608,,,
MA7G4,3800,,,
MA7G4_AV1,3800,,,
MA7H4,3800,,,
MA7H4_AV1,3800,,,
MA7J4,3800,,,
MA7J4_AV1,3800,,,
MA7K4,3800,,,
MA7K4_AV1,3800,,,
MA7L4,3800,,,
MA7L4_AV1,3800,,,
MA7U4,4608,,,
MA7U4_AV1,4608,,,
MA7U4_AV2,4608,,,
MA7U4_AV3,4608,,,
MA7V4,4608,,,
MA7V4_AV1,4608,,,
MA7V4_AV2,4608,,,
MA7V4_AV3,4608,,,
MC2Q4,3800,,,
MC2Q4_AV1,3800,,,
MC2T4,3800,,,
MC2T4_AV1,3800,,,
MC2U4,3800,,,
MC2U4_AV1,3800,,,
MC2U4_AV2,3800,,,
MC2U4_AV3,3800,,,
MC2U4_AV4,3800,,,
MC2V4,3800,,,
MC2V4_AV1,3800,,,
MC360,4608,,,
MC360_AV1,1536,,,
MC360_AV2,1536,,,
MC360_AV3,2560,,,
MC668,768,,,
MC668_AV1,1280,,,
MC668_AV2,1280,,,
MC668_AV3,1280,,,
MC668_AV4,1280,,,
MC668_AV5,1280,,,
MC669,768,,,
MC669_AV1,1280,,,
MC669_AV2,1280,,,
MC669_AV3,1280,,,
MC669_AV4,1280,,,
MC669_AV5,1280,,,
MC670,768,,,
MC670_AV1,1280,,,
MC670_AV2,1280,,,
MC670_AV3,1280,,,
MC670_AV4,1280,,,
MC670_AV5,1280,,,
MC671,768,,,
MC671_AV1,2048,,,
MC671_AV2,2048,,,
MC671_AV3,2048,,,
MC671_AV4,2048,,,
MC671_AV5,2048,,,
MC672,768,,,
MC672_AV1,1280,,,
MC672_AV2,1280,,,
MC672_AV3,1280,,,
MC672_AV4,1280,,,
MC672_AV5,1280,,,
MC839,768,,,
MC839_AV1,2048,,,
MC839_AV2,2048,,,
MC839_AV3,2048,,,
MC839_AV4,2048,,,
MC839_AV5,2048,,,
MC939,768,,,
MC939_AV1_BLACK,1024,,,
MC939_AV1_WHITE,1024,,,
MC939_AV2_BLACK,1280,,,
MC939_AV2_WHITE,1280,,,
MC939_AV3_BLACK,1280,,,
MC939_AV3_WHITE,1280,,,
MC939_AV4_BLACK,1024,,,
MC939_AV4_WHITE,1024,,,
MC939_AV5,1024,,,
MC940,1536,,,
MC940_AV1,1536,,,
MC940_AV2,1536,,,
MC940_AV3,1536,,,
MC941,768,,,
MC941_AV1_BLACK,1024,,,
MC941_AV1_WHITE,1024,,,
MC941_AV2_BLACK,1280,,,
MC941_AV2_WHITE,1280,,,
MC941_AV3_BLACK,1280,,,
MC941_AV3_WHITE,1280,,,
MC941_AV4_BLACK,1024,,,
MC941_AV4_WHITE,1024,,,
MC941_AV5,1024,,,
MC942,768,,,
MC942_AV1_BLACK,1024,,,
MC942_AV1_WHITE,1024,,,
MC942_AV2_BLACK,1280,,,
MC942_AV2_WHITE,1280,,,
MC942_AV3_BLACK,1280,,,
MC942_AV3_WHITE,1280,,,
MC942_AV4_BLACK,1024,,,
MC942_AV4_WHITE,1024,,,
MC942_AV5,1024,,,
MC944,768,,,
MC944_AV1_BLACK,1024,,,
MC944_AV1_WHITE,1024,,,
MC944_AV2_BLACK,1280,,,
MC944_AV2_WHITE,1280,,,
MC944_AV3_BLACK,1280,,,
MC944_AV3_WHITE,1280,,,
MC944_AV4_BLACK,1024,,,
MC944_AV4_WHITE,1024,,,
MC944_AV5,1024,,,
MC945,768,,,
MC945_AV1_BLACK,1024,,,
MC945_AV1_WHITE,1024,,,
MC945_AV2_BLACK,1280,,,
MC945_AV2_WHITE,1280,,,
MC945_AV3_BLACK,1280,,,
MC945_AV3_WHITE,1280,,,
MC945_AV4_BLACK,1024,,,
MC945_AV4_WHITE,1024,,,
MC945_AV5,1024,,,
MC947,768,,,
MC947_AV1_BLACK,1024,,,
MC947_AV1_WHITE,1024,,,
MC947_AV2_BLACK,1280,,,
MC947_AV2_WHITE,1280,,,
MC947_AV3_BLACK,1280,,,
MC947_AV3_WHITE,1280,,,
MC947_AV4_BLACK,1024,,,
MC947_AV4_WHITE,1024,,,
MC947_AV5,1024,,,
MC948,768,,,
MC948_AV1_BLACK,1024,,,
MC948_AV1_WHITE,1024,,,
MC948_AV2_BLACK,1280,,,
MC948_AV2_WHITE,1280,,,
MC948_AV3_BLACK,1280,,,
MC948_AV3_WHITE,1280,,,
MC948_AV4_BLACK,1024,,,
MC948_AV4_WHITE,1024,,,
MC948_AV5,1024,,,
MC949,768,,,
MC949_AV1_BLACK,1024,,,
MC949_AV1_WHITE,1024,,,
MC949_AV2_BLACK,1280,,,
MC949_AV2_WHITE,1280,,,
MC949_AV3_BLACK,1280,,,
MC949_AV3_WHITE,1280,,,
MC949_AV4_BLACK,1024,,,
MC949_AV4_WHITE,1024,,,
MC949_AV5,1024,,,
MC952,768,,,
MC952_AV1_BLACK,1024,,,
MC952_AV1_WHITE,1024,,,
MC952_AV2_BLACK,1280,,,
MC952_AV2_WHITE,1280,,,
MC952_AV3_BLACK,1280,,,
MC952_AV3_WHITE,1280,,,
MC952_AV4_BLACK,1024,,,
MC952_AV4_WHITE,1024,,,
MC952_AV5,1024,,,
MCFC4,4608,,,
MCFC4_AV1,3225,,,1
MCFC4_AV2,4608,,,
MCFC4_AV3,4608,,,
MCFC4_AV4,4608,,,
MCFD4,4608,,,
MCFD4_AV1,4472,,,1
MCFD4_AV2,4608,,,
MCFD4_AV3,4608,,,
MCFD4_AV4,4608,,,
MCFE4,4608,,,
MCFE4_AV1,3441,,,1
MCFE4_AV2,4608,,,
MCFE4_AV3,4608,,,
MCFE4_AV4,4608,,,
MCFF4,4608,,,
MCFF4_AV1,4287,,,1
MCFF4_AV2,4608,,,
MCFF4_AV3,4608,,,
MCFF4_AV4,4608,,,
MCFG4,4608,,,
MCFG4_AV1,3225,,,1
MCFG4_AV2,4608,,,
MCFG4_AV3,4608,,,
MCFG4_AV4,4608,,,
MCFH4,4608,,,
MCFH4_AV1,4472,,,1
MCFH4_AV2,4608,,,
MCFH4_AV3,4608,,,
MCFH4_AV4,4608,,,
MCFJ4,4608,,,
MCFJ4_AV1,3441,,,1
MCFJ4_AV2,4608,,,
MCFJ4_AV3,4608,,,
MCFJ4_AV4,4608,,,
MCFK4,4608,,,
MCFK4_AV1,4287,,,1
MCFK4_AV2,4608,,,
MCFK4_AV3,4608,,,
MCFK4_AV4,4608,,,
MCFL4,4608,,,
MCFL4_AV1,3755,,,1
MCFL4_AV2,4608,,,
MCFL4_AV3,4608,,,
MCFL4_AV4,4608,,,
MCFM4,4608,,,
MCFM4_AV1,4231,,,1
MCFM4_AV2,4608,,,
MCFM4_AV3,4608,,,
MCFM4_AV4,4608,,,
MCFN4,4608,,,
MCFN4_AV1,3756,,,1
MCFN4_AV2,4608,,,
MCFN4_AV3,4608,,,
MCFN4_AV4,4608,,,
MCFP4,4608,,,
MCFP4_AV1,4378,,,1
MCFP4_AV2,4608,,,
MCFP4_AV3,4608,,,
MCFP4_AV4,4608,,,
MCFQ4,4608,,,
MCFQ4_AV1,3755,,,1
MCFQ4_AV2,4608,,,
MCFQ4_AV3,4608,,,
MCFQ4_AV4,4608,,,
MCFR4,4608,,,
MCFR4_AV1,4231,,,1
MCFR4_AV2,4608,,,
MCFR4_AV3,4608,,,
MCFR4_AV4,4608,,,
MCFT4,4608,,,
MCFT4_AV1,3756,,,1
MCFT4_AV2,4608,,,
MCFT4_AV3,4608,,,
MCFT4_AV4,4608,,,
MCFU4,4608,,,
MCFU4_AV1,4378,,,1
MCFU4_AV2,4608,,,
MCFU4_AV3,4608,,,
MCFU4_AV4,4608,,,
MD301,768,,,
MD301_AV1_BLACK,1280,,,
MD301_AV1_WHITE,1280,,,
MD301_AV2_BLACK,1280,,,
MD301_AV2_WHITE,1280,,,
MD301_AV3,1280,,,
MD301_AV3_BLACK,4608,,,
MD301_AV3_WHITE,4608,,,
MD301_AV4,1024,,,
MD301_AV4_BLACK,4608,,,
MD301_AV4_WHITE,4608,,,
MD301_AV5,4608,,,
MD302,768,,,
MD302_AV1_BLACK,1280,,,
MD302_AV1_WHITE,1280,,,
MD302_AV2_BLACK,1280,,,
MD302_AV2_WHITE,1280,,,
MD302_AV3,1280,,,
MD302_AV3_BLACK,4608,,,
MD302_AV3_WHITE,4608,,,
MD302_AV4,1024,,,
MD302_AV4_BLACK,4608,,,
MD302_AV4_WHITE,4608,,,
MD302_AV5,4608,,,
MD303,768,,,
MD303_AV1_BLACK,1280,,,
MD303_AV1_WHITE,1280,,,
MD303_AV2_BLACK,1280,,,
MD303_AV2_WHITE,1280,,,
MD303_AV3,1280,,,
MD303_AV3_BLACK,4608,,,
MD303_AV3_WHITE,4608,,,
MD303_AV4,1280,,,
MD303_AV4_BLACK,4608,,,
MD303_AV4_WHITE,4608,,,
MD303_AV5,4608,,,
MD304,768,,,
MD304_AV1_BLACK,1280,,,
MD304_AV1_WHITE,1280,,,
MD304_AV2_BLACK,1280,,,
MD304_AV2_WHITE,1280,,,
MD304_AV3,1280,,,
MD304_AV3_BLACK,4608,,,
MD304_AV3_WHITE,4608,,,
MD304_AV4,1024,,,
MD304_AV4_BLACK,4608,,,
MD304_AV4_WHITE,4608,,,
MD304_AV5,4608,,,
MD305,768,,,
MD305_AV1_BLACK,1280,,,
MD305_AV1_WHITE,1280,,,
MD305_AV2_BLACK,1280,,,
MD305_AV2_WHITE,1280,,,
MD305_AV3,1280,,,
MD305_AV3_BLACK,4608,,,
MD305_AV3_WHITE,4608,,,
MD305_AV4,1024,,,
MD305_AV4_BLACK,4608,,,
MD305_AV4_WHITE,4608,,,
MD305_AV5,4608,,,
MD306,4608,,,
MD306_AV1_BLACK,4608,,,
MD306_AV1_WHITE,4608,,,
MD306_AV2_BLACK,4608,,,
MD306_AV2_WHITE,4608,,,
MD306_AV3_BLACK,4608,,,
MD306_AV3_WHITE,4608,,,
MD306_AV4,4608,,,
MD307,768,,,
MD307_AV1_BLACK,1280,,,
MD307_AV1_WHITE,1280,,,
MD307_AV2_BLACK,1280,,,
MD307_AV2_WHITE,1280,,,
MD307_AV3,1280,,,
MD307_AV3_BLACK,4608,,,
MD307_AV3_WHITE,4608,,,
MD307_AV4,1024,,,
MD307_AV4_BLACK,4608,,,
MD307_AV4_WHITE,4608,,,
MD307_AV5,4608,,,
MD308,768,,,
MD308_AV1_BLACK,1280,,,
