SKU,USD,EUR,GBP,JPY,CNY,CAD,AUD,INR,KRW,BRL,MXN,CHF,SGD,HKD,AED,SEK
MHVQ4,49,59,49,7980,399,69,79,4900,75000,569,1099,49,75,369,219,695
MHVM4,49,59,49,7980,399,69,79,4900,75000,569,1099,49,75,369,219,695
MHVT4,49,59,49,7980,399,69,79,4900,75000,569,1099,49,75,369,219,695
MHW04,49,59,49,7980,399,69,79,4900,75000,569,1099,49,75,369,219,695
MHVX4,49,59,49,7980,399,69,79,4900,75000,569,1099,49,75,369,219,695
MHW64,49,59,49,7980,399,69,79,4900,75000,569,1099,49,75,369,219,695
MHW54,49,59,49,7980,399,69,79,4900,75000,569,1099,49,75,369,219,695
MHWJ4,49,59,49,7980,399,69,79,4900,75000,569,1099,49,75,369,219,695
MHWH4,49,59,49,7980,399,69,79,4900,75000,569,1099,49,75,369,219,695
MHWG4,49,59,49,7980,399,69,79,4900,75000,569,1099,49,75,369,219,695
MHWF4,49,59,49,7980,399,69,79,4900,75000,569,1099,49,75,369,219,695
MHWE4,49,59,49,7980,399,69,79,4900,75000,569,1099,49,75,369,219,695
MHWD4,49,59,49,7980,399,69,79,4900,75000,569,1099,49,75,369,219,695
MHWC4,49,59,49,7980,399,69,79,4900,75000,569,1099,49,75,369,219,695
MHR24,45,55,45,6980,399,59,69,4500,64900,399,999,45,59,349,179,595
MHR34,45,55,45,6980,399,59,69,4500,64900,399,999,45,59,349,179,595
MHYY4,59,69,59,9980,479,79,99,5900,89000,719,1399,59,89,449,269,795
MHYX4,59,69,59,9980,479,79,99,5900,89000,719,1399,59,89,449,269,795
MGFX4,35,45,35,5980,299,49,59,3900,65000,426,749,35,55,299,159,475
MGFY4,35,45,35,5980,299,49,59,3900,65000,426,749,35,55,299,159,475
MGG04,35,45,35,5980,299,49,59,3900,65000,426,749,35,55,299,159,475
MGG14,35,45,35,5980,299,49,59,3900,65000,426,749,35,55,299,159,475
MGG24,35,45,35,5980,299,49,59,3900,65000,426,749,35,55,299,159,475
MGYX4,269,329,269,46800,2199,379,449,26900,419000,2999,6499,269,399,2099,1099,3295
MGYY4,319,349,299,49800,2399,399,499,29900,449000,3299,6999,299,449,2299,1199,3895
MGTL4,59,69,59,9980,479,79,99,5900,89000,719,1399,59,89,449,269,795
MGY64,59,69,59,9980,479,79,99,5900,89000,719,1399,59,89,449,269,795
MGTM4,59,69,59,9980,479,79,99,5900,89000,719,1399,59,89,449,269,795
MGY54,59,69,59,9980,479,79,99,5900,89000,719,1399,59,89,449,269,795
MGTN4,59,69,59,9980,479,79,99,5900,89000,719,1399,59,89,449,269,795
