code,file,canvas_w,canvas_h,bbox_w,bbox_h,x,y,off_x_frac,off_y_frac,off_max_frac,kind,note
iphone-13-mini-pink-select-2021,iphone-13-mini-pink-select-2021.png,1000,1000,399,535,300,375,-0.0005,0.1425,0.1425,alpha,
iphone-13-mini-blue-select-2021,iphone-13-mini-blue-select-2021.png,1000,1000,399,535,300,375,-0.0005,0.1425,0.1425,alpha,
iphone-13-mini-midnight-select-2021,iphone-13-mini-midnight-select-2021.png,1000,1000,399,535,300,375,-0.0005,0.1425,0.1425,alpha,
iphone-13-mini-starlight-select-2021,iphone-13-mini-starlight-select-2021.png,1000,1000,399,535,300,375,-0.0005,0.1425,0.1425,alpha,
iphone-13-mini-product-red-select-2021,iphone-13-mini-product-red-select-2021.png,1000,1000,399,535,300,375,-0.0005,0.1425,0.1425,alpha,
iphone-13-mini-green-select,iphone-13-mini-green-select.png,1000,1000,399,535,300,375,-0.0005,0.1425,0.1425,alpha,
iphone-13-pro-graphite-select,iphone-13-pro-graphite-select.png,1020,1020,482,609,270,321,0.001,0.1132,0.1132,alpha,
iphone-13-pro-gold-select,iphone-13-pro-gold-select.png,1020,1020,482,609,270,321,0.001,0.1132,0.1132,alpha,
iphone-13-pro-silver-select,iphone-13-pro-silver-select.png,1020,1020,482,609,270,321,0.001,0.1132,0.1132,alpha,
iphone-13-pro-blue-select,iphone-13-pro-blue-select.png,1020,1020,482,609,270,321,0.001,0.1132,0.1132,alpha,
iphone-13-pink-select-2021,iphone-13-pink-select-2021.png,1020,1020,450,608,285,321,0.0,0.1127,0.1127,alpha,
iphone-13-blue-select-2021,iphone-13-blue-select-2021.png,1020,1020,450,608,285,321,0.0,0.1127,0.1127,alpha,
iphone-13-midnight-select-2021,iphone-13-midnight-select-2021.png,1020,1020,450,608,285,321,0.0,0.1127,0.1127,alpha,
iphone-13-starlight-select-2021,iphone-13-starlight-select-2021.png,1020,1020,450,608,285,321,0.0,0.1127,0.1127,alpha,
iphone-13-product-red-select-2021,iphone-13-product-red-select-2021.png,1020,1020,450,608,285,321,0.0,0.1127,0.1127,alpha,
iphone-13-pro-green-select,iphone-13-pro-green-select.png,1022,1022,481,613,272,319,0.0015,0.112,0.112,alpha,
iphone-13-green-select,iphone-13-green-select.png,1022,1022,452,612,285,319,0.0,0.1115,0.1115,alpha,
ipad-pro-9in-select-spacegray-201603,ipad-pro-9in-select-spacegray-201603.png,1380,1380,775,897,290,364,-0.0091,0.0888,0.0888,alpha,
ipad-pro-9in-select-rosegold-201603,ipad-pro-9in-select-rosegold-201603.png,1380,1380,775,897,290,364,-0.0091,0.0888,0.0888,alpha,
ipad-pro-9in-select-silver-201603,ipad-pro-9in-select-silver-201603.png,1380,1380,776,897,242,363,-0.0435,0.088,0.088,alpha,
ipad-pro-9in-select-gold-201603,ipad-pro-9in-select-gold-201603.png,1380,1380,776,897,242,363,-0.0435,0.088,0.088,alpha,
iphone7-black-select-2016,iphone7-black-select-2016.png,1282,1282,701,833,290,337,-0.0004,0.0878,0.0878,alpha,
iphone7-gold-select-2016,iphone7-gold-select-2016.png,1282,1282,701,833,290,337,-0.0004,0.0878,0.0878,alpha,
iphone7-rosegold-select-2016,iphone7-rosegold-select-2016.png,1282,1282,701,833,290,337,-0.0004,0.0878,0.0878,alpha,
iphone-12-mini-purple-select-2021,iphone-12-mini-purple-select-2021.png,1108,1108,530,721,288,290,-0.0009,0.0871,0.0871,alpha,
iphone7-silver-select-2016,iphone7-silver-select-2016.png,1283,1283,701,834,290,336,-0.0008,0.0869,0.0869,alpha,
