SKU,regions,kind,colour,model,season,release_date,alt_thumbnail,name
MHVQ4,ZM,Silicone Case,Bright Guava,iPhone 17,Spring 2026,3/2/26,,iPhone 17 Silicone Case with MagSafe — Bright Guava
MHVM4,ZM,Silicone Case,Vanilla,iPhone 17,Spring 2026,3/2/26,,iPhone 17 Silicone Case with MagSafe — Vanilla
MHVT4,ZM,Silicone Case,Electric Lavender,iPhone 17,Spring 2026,3/2/26,,iPhone 17 Silicone Case with MagSafe — Electric Lavender
MHW04,ZM,Silicone Case,Bright Guava,iPhone 17 Pro,Spring 2026,3/2/26,,iPhone 17 Pro Silicone Case with MagSafe — Bright Guava
MHVX4,ZM,Silicone Case,Vanilla,iPhone 17 Pro,Spring 2026,3/2/26,,iPhone 17 Pro Silicone Case with MagSafe — Vanilla
MHW64,ZM,Silicone Case,Bright Guava,iPhone 17 Pro Max,Spring 2026,3/2/26,,iPhone 17 Pro Max Silicone Case with MagSafe — Bright Guava
MHW54,ZM,Silicone Case,Vanilla,iPhone 17 Pro Max,Spring 2026,3/2/26,,iPhone 17 Pro Max Silicone Case with MagSafe — Vanilla
MHWJ4,ZM,Silicone Case,Soft Pink,iPhone 17e,Spring 2026,3/2/26,,iPhone 17e Silicone Case with MagSafe — Soft Pink
MHWH4,ZM,Silicone Case,Bright Guava,iPhone 17e,Spring 2026,3/2/26,,iPhone 17e Silicone Case with MagSafe — Bright Guava
MHWG4,ZM,Silicone Case,Vanilla,iPhone 17e,Spring 2026,3/2/26,,iPhone 17e Silicone Case with MagSafe — Vanilla
MHWF4,ZM,Silicone Case,Light Moss,iPhone 17e,Spring 2026,3/2/26,,iPhone 17e Silicone Case with MagSafe — Light Moss
MHWE4,ZM,Silicone Case,Anchor Blue,iPhone 17e,Spring 2026,3/2/26,,iPhone 17e Silicone Case with MagSafe — Anchor Blue
MHWD4,ZM,Silicone Case,Black,iPhone 17e,Spring 2026,3/2/26,,iPhone 17e Silicone Case with MagSafe — Black
MHWC4,ZM,Clear Case,Clear,iPhone 17e,Spring 2026,3/2/26,,iPhone 17e Clear Case with MagSafe
MHR24,LL,Beats Case,Lime Stone,iPhone 17e,Spring 2026,3/2/26,,Beats iPhone 17e Case with MagSafe — Lime Stone
MHR34,LL,Beats Case,Bedrock Blue,iPhone 17e,Spring 2026,3/2/26,,Beats iPhone 17e Case with MagSafe — Bedrock Blue
MHYY4,ZM,Crossbody Strap,Soft Pink,iPhone Gloryhole Case,Spring 2026,3/2/26,,Crossbody Strap — Soft Pink
MHYX4,ZM,Crossbody Strap,Bright Guava,iPhone Gloryhole Case,Spring 2026,3/2/26,,Crossbody Strap — Bright Guava
MGFX4,ZM,FineWoven Key Ring,Moss,AirTag,Autumn 2025,10/16/25,,AirTag FineWoven Key Ring — Moss
MGFY4,ZM,FineWoven Key Ring,Fox Orange,AirTag,Autumn 2025,10/16/25,,AirTag FineWoven Key Ring — Fox Orange
MGG04,ZM,FineWoven Key Ring,Midnight Purple,AirTag,Autumn 2025,10/16/25,,AirTag FineWoven Key Ring — Midnight Purple
MGG14,ZM,FineWoven Key Ring,Navy,AirTag,Autumn 2025,10/16/25,,AirTag FineWoven Key Ring — Navy
MGG24,ZM,FineWoven Key Ring,Black,AirTag,Autumn 2025,10/16/25,,AirTag FineWoven Key Ring — Black
MGYX4,AB B D DK E EQ F J KU LA LC LL PO RS SM T UA,Magic Keyboard,Black,iPad Air 11-inch,Autumn 2025,10/16/25,,Magic Keyboard for iPad Air 11″ (M3 / M4) — Black
MGYY4,AB B D DK E EQ F J KU LA LC LL PO RS SM T UA,Magic Keyboard,Black,iPad Air 13-inch,Autumn 2025,10/16/25,,Magic Keyboard for iPad Air 13″ (M3 / M4) — Black
MGTL4,LL,Beats Kickstand Case,Lime Stone,iPhone 17,Autumn 2025,9/9/25,,Beats iPhone 17 Kickstand Case with MagSafe and Camera Control — Lime Stone
MGY64,LL,Beats Kickstand Case,Pebble Pink,iPhone 17,Autumn 2025,9/9/25,,Beats iPhone 17 Kickstand Case with MagSafe and Camera Control — Pebble Pink
MGTM4,LL,Beats Kickstand Case,Bedrock Blue,iPhone 17,Autumn 2025,9/9/25,,Beats iPhone 17 Kickstand Case with MagSafe and Camera Control — Bedrock Blue
MGY54,LL,Beats Kickstand Case,Granite Gray,iPhone 17,Autumn 2025,9/9/25,,Beats iPhone 17 Kickstand Case with MagSafe and Camera Control — Granite Gray
