group_id,SKU
airtag-finewoven-key-ring-black,MGG24
airtag-finewoven-key-ring-black,MA7G4
airtag-finewoven-key-ring-black,MT2H3
magsafe-iphone-finewoven-wallet-black,MGHA4
magsafe-iphone-finewoven-wallet-black,MA6W4
magsafe-iphone-finewoven-wallet-black,MT2N3
ipad-10-smart-folio-lemonade,MDEN4
ipad-10-smart-folio-lemonade,MQDR3
ipad-10-smart-folio-sky,MDEQ4
ipad-10-smart-folio-sky,MQDU3
ipad-10-smart-folio-watermelon,MDEP4
ipad-10-smart-folio-watermelon,MQDT3
ipad-10-smart-folio-white,MDEJ4
ipad-10-smart-folio-white,MQDQ3
ipad-10-5-polyurethane-smart-cover-charcoal-gray,MVQ22
ipad-10-5-polyurethane-smart-cover-charcoal-gray,MU7P2
ipad-10-5-polyurethane-smart-cover-charcoal-gray,MQ082
ipad-10-5-polyurethane-smart-cover-pink-sand,MVQ42
ipad-10-5-polyurethane-smart-cover-pink-sand,MU7R2
ipad-10-5-polyurethane-smart-cover-pink-sand,MQ0E2
ipad-10-5-polyurethane-smart-cover-white,MVQ32
ipad-10-5-polyurethane-smart-cover-white,MU7Q2
ipad-10-5-polyurethane-smart-cover-white,MPQM2
ipad-10-5-smart-keyboard-black,MX3L2
ipad-10-5-smart-keyboard-black,MPTL2
ipad-2-4-leather-smart-cover-black,MD301
ipad-2-4-leather-smart-cover-black,MC947
ipad-2-4-leather-smart-cover-cream,MD305
ipad-2-4-leather-smart-cover-cream,MC952
ipad-2-4-leather-smart-cover-navy,MD303
ipad-2-4-leather-smart-cover-navy,MC949
ipad-2-4-leather-smart-cover-tan,MD302
ipad-2-4-leather-smart-cover-tan,MC948
ipad-2-4-polyurethane-smart-cover-blue,MD310
ipad-2-4-polyurethane-smart-cover-blue,MC942
ipad-2-4-polyurethane-smart-cover-green,MD309
ipad-2-4-polyurethane-smart-cover-green,MC944
ipad-2-4-polyurethane-smart-cover-pink,MD308
ipad-2-4-polyurethane-smart-cover-pink,MC941
ipad-9-7-smart-cover-product-red,MQ4N2
ipad-9-7-smart-cover-product-red,MGTP2
ipad-9-7-smart-cover-black,MGTM2
ipad-9-7-smart-cover-black,MF053
ipad-9-7-smart-cover-blue,MGTQ2
ipad-9-7-smart-cover-blue,MF054
ipad-9-7-smart-cover-green,MGXL2
ipad-9-7-smart-cover-green,MF056
ipad-9-7-smart-cover-pink,MGXK2
ipad-9-7-smart-cover-pink,MF055
ipad-9-7-smart-cover-white,MQ4M2
ipad-9-7-smart-cover-white,MGTN2
ipad-9-7-smart-cover-yellow,MGXN2
ipad-9-7-smart-cover-yellow,MF057
ipad-air-11-inch-smart-folio-charcoal-gray,MWK53
ipad-air-11-inch-smart-folio-charcoal-gray,MRX72
ipad-air-11-inch-smart-folio-white,MH0A3
ipad-air-11-inch-smart-folio-white,MRX82
ipad-air-13-inch-smart-folio-charcoal-gray,MWK93
