code,sku,download_res,crop,note
MA6A4,MA6A4,,,
MA6A4_AV1,MA6A4,,,
MA6A4_AV2,MA6A4,,,
MA6A4_AV3,MA6A4,,,
MA6A4_AV4,MA6A4,,,
MA6A4_AV5,MA6A4,,,
MA6W4,MA6W4,,MagSafe Wallets,
MA6W4_AV1,MA6W4,,MagSafe Wallets,
MA6W4_AV2,MA6W4,,,
MA6W4_AV3,MA6W4,,,
MA6X4,MA6X4,,MagSafe Wallets,
MA6X4_AV1,MA6X4,,MagSafe Wallets,
MA6X4_AV2,MA6X4,,,
MA6X4_AV3,MA6X4,,,
MA6Y4,MA6Y4,,MagSafe Wallets,
MA6Y4_AV1,MA6Y4,,MagSafe Wallets,
MA6Y4_AV2,MA6Y4,,,
MA6Y4_AV3,MA6Y4,,,
MA7A4,MA7A4,,MagSafe Wallets,
MA7A4_AV1,MA7A4,,MagSafe Wallets,
MA7A4_AV2,MA7A4,,,
MA7A4_AV3,MA7A4,,,
MA7D4,MA7D4,,,
MA7D4_AV1,MA7D4,,,
MA7D4_AV2,MA7D4,,,
MA7D4_AV3,MA7D4,,,
MA7D4_AV4,MA7D4,,,
MA7E4,MA7E4,,,
MA7E4_AV1,MA7E4,,,
MA7E4_AV2,MA7E4,,,
MA7E4_AV3,MA7E4,,,
MA7E4_AV4,MA7E4,,,
MA7F4,MA7F4,,,
MA7F4_AV1,MA7F4,,,
MA7F4_AV2,MA7F4,,,
MA7F4_AV3,MA7F4,,,
MA7G4,MA7G4,,AirTag Key Rings,
MA7G4_AV1,MA7G4,3800x3800,,auto: custom download res (or undocumented crop?) — verify
MA7H4,MA7H4,,AirTag Key Rings,
MA7H4_AV1,MA7H4,3800x3800,,auto: custom download res (or undocumented crop?) — verify
MA7J4,MA7J4,,AirTag Key Rings,
MA7J4_AV1,MA7J4,3800x3800,,auto: custom download res (or undocumented crop?) — verify
MA7K4,MA7K4,,AirTag Key Rings,
MA7K4_AV1,MA7K4,3800x3800,,auto: custom download res (or undocumented crop?) — verify
MA7L4,MA7L4,,AirTag Key Rings,
MA7L4_AV1,MA7L4,3800x3800,,auto: custom download res (or undocumented crop?) — verify
MA7U4,MA7U4,,,
MA7U4_AV1,MA7U4,,,
