SKU,regions,kind,colour,model,season,release_date,alt_thumbnail,name
MPWM2,AM,Classic Buckle,Berry,38/40/41mm,Spring 2017,4/27/17,,38mm Berry Classic Buckle
MPW92,AM,Classic Buckle,Black,38/40/41mm,Spring 2017,4/27/17,,38mm Black Classic Buckle
MPWD2,AM,Classic Buckle,Midnight Blue,38/40/41mm,Spring 2017,4/27/17,,38mm Midnight Blue Classic Buckle
MPWE2,AM,Classic Buckle,Red,38/40/41mm,Spring 2017,4/27/17,,38mm Red Classic Buckle
MPWC2,AM,Classic Buckle,Saddle Brown,38/40/41mm,Spring 2017,4/27/17,,38mm Saddle Brown Classic Buckle
MPWJ2,AM,Classic Buckle,Sapphire,38/40/41mm,Spring 2017,4/27/17,,38mm Sapphire Classic Buckle
MPWG2,AM,Classic Buckle,Taupe,38/40/41mm,Spring 2017,4/27/17,,38mm Taupe Classic Buckle
MPX42,AM,Classic Buckle,Berry,42/44/45/49mm,Spring 2017,4/27/17,,42mm Berry Classic Buckle
MPWR2,AM,Classic Buckle,Black,42/44/45/49mm,Spring 2017,4/27/17,,42mm Black Classic Buckle
MPWV2,AM,Classic Buckle,Midnight Blue,42/44/45/49mm,Spring 2017,4/27/17,,42mm Midnight Blue Classic Buckle
MPWX2,AM,Classic Buckle,Red,42/44/45/49mm,Spring 2017,4/27/17,,42mm Red Classic Buckle
MPWT2,AM,Classic Buckle,Saddle Brown,42/44/45/49mm,Spring 2017,4/27/17,,42mm Saddle Brown Classic Buckle
MPX22,AM,Classic Buckle,Sapphire,42/44/45/49mm,Spring 2017,4/27/17,,42mm Sapphire Classic Buckle
MPX12,AM,Classic Buckle,Taupe,42/44/45/49mm,Spring 2017,4/27/17,,42mm Taupe Classic Buckle
MLHL2,ZM,Leather Loop,Midnight Blue,42/44/45/49mm,Spring 2017,4/27/17,,42MM Midnight Blue Leather Loop - Medium
MNL12,AM,Leather Loop,Smoke Gray,42/44/45/49mm,Spring 2017,4/27/17,,42mm Smoke Gray Leather Loop - Large
MNKY2,AM,Leather Loop,Smoke Gray,42/44/45/49mm,Spring 2017,4/27/17,,42mm Smoke Gray Leather Loop - Medium
ML9K2,AM ZM,Link Bracelet,Silver,42/44/45/49mm,Spring 2017,4/27/17,,42mm Silver Link Bracelet Kit (six additional stainless steel links for wrists that exceed 205mm)
MM062,AM ZM,Link Bracelet,Space Black,42/44/45/49mm,Spring 2017,4/27/17,,42mm Space Black Link Bracelet Kit (six additional stainless steel links for wrists that exceed 205mm)
MJ5E2,ZM,Milanese Loop,Silver,38/40/41mm,Spring 2017,4/27/17,,38mm Silver Milanese Loop
MLJJ2,AM,Milanese Loop,Space Black,38/40/41mm,Spring 2017,4/27/17,,38mm Space Black Milanese Loop
MJ5F2,ZM,Milanese Loop,Silver,42/44/45/49mm,Spring 2017,4/27/17,,42mm Silver Milanese Loop
MLJH2,AM,Milanese Loop,Space Black,42/44/45/49mm,Spring 2017,4/27/17,,42mm Space Black Milanese Loop
MJ5D2,ZM,Modern Buckle,Blue,38/40/41mm,Spring 2017,4/27/17,,38mm Blue Modern Buckle - Large
MJ5C2,ZM,Modern Buckle,Blue,38/40/41mm,Spring 2017,4/27/17,,38mm Blue Modern Buckle - Medium
MJ5A2,ZM,Modern Buckle,Blue,38/40/41mm,Spring 2017,4/27/17,,38mm Blue Modern Buckle - Small
MQ2K2,AM,Nike Sport Band,Anthracite/Black,38/40/41mm,Spring 2017,4/27/17,,38mm Anthracite/Black Nike Sport Band - S/M & M/L
MQ2H2,AM,Nike Sport Band,Black/Volt,38/40/41mm,Spring 2017,4/27/17,,38mm Black/Volt Nike Sport Band - S/M & M/L
